"Feature","Gain","Cover","Frequency"
"word2vec_13",0.0821353107692922,0.014850949518317,0.0112328466810383
"word2vec_9",0.0571733355009887,0.0167279083860897,0.0126734905862272
"no",0.0360949988896647,0.0176182675889701,0.00954165600972957
"lda_3",0.0219433173311501,0.0120594744605225,0.00673344433946999
"lsa_1",0.0201673182910792,0.00662311721159778,0.00999577202332173
"lsa_13",0.0179317123214363,0.0053371683302147,0.00823150521189471
"lsa_2",0.0173467837684953,0.00797184245528119,0.0092284725520798
"word2vec_32",0.0144420618722017,0.00860544064221692,0.0108987843262119
"lsa_11",0.0141389441585759,0.00773725362987769,0.0104342288640314
"word2vec_29",0.0132920307515888,0.00848865059959596,0.00935374593513971
"lsa_14",0.011694848901322,0.00440974962904179,0.00778782864689087
"lda_7",0.0107113175320784,0.00584488128798669,0.00582521231228566
"tsn2_2",0.0103436669794795,0.00530525287654512,0.0116347654516888
"word2vec_30",0.0102027416494792,0.00817986165567163,0.00981308167302603
"word2vec_34",0.010201546541203,0.00475127295624568,0.00813233045030561
"word2vec_28",0.0101891990165076,0.00646152899303857,0.00920759365490315
"tsn2_1",0.0100840283024073,0.0048435046510884,0.0108100490132111
"lsa_3",0.00952536588781145,0.00528791521258667,0.00759991857230101
"lsa_6",0.00894816586837762,0.00526341418392472,0.00839331666501375
"word2vec_37",0.00860434273881582,0.0056958558423287,0.0093119881407864
"mejorar",0.00844712377905528,0.00855486984740443,0.00429583309409597
"word2vec_15",0.0083074522288115,0.00781243900440785,0.00930154869219808
"lda_2",0.00807668958763232,0.00587322638417978,0.00703096862423727
"word2vec_14",0.00724597723316346,0.00435584072262967,0.00784524561412666
"word2vec_25",0.00689601463912254,0.0040439465741672,0.00813233045030561
"clave_carrera",0.00680756027792943,0.00497191916924391,0.0124647016144607
"lsa_9",0.00667273602246838,0.00361203766812417,0.00682217965247076
"word2vec_21",0.0065988965606922,0.0041340978375764,0.00854990839383864
"lda_4",0.00652584583992779,0.00535640253559927,0.00590350817669811
"word2vec_23",0.0064679003862514,0.00517728465599013,0.00776173002542006
"word2vec_10",0.00632808310412522,0.00374888001743102,0.00795485982430408
"word2vec_33",0.00618054163182405,0.00631174556443666,0.00866474232831022
"en",0.00617410277745642,0.00671198587394389,0.00621147191005371
"cluster_4",0.00614642607482686,0.00285091054816269,0.00136756776507065
"word2vec_46",0.00614556679551352,0.00427697564369513,0.00808535293165815
"ciclo_estudio",0.00612726307998012,0.0069276942810797,0.0081479896231881
"falta",0.00610281045112185,0.00770062598026547,0.00423319640256602
"lsa_7",0.00599962206993542,0.00378550966757057,0.00763123691806599
"lsa_17",0.00599771430586835,0.00405364437606719,0.00846639280513203
"word2vec_50",0.00587104305852378,0.0043314218926352,0.00799661761865738
"word2vec_48",0.00581967014751066,0.00429260150421538,0.00770953278247843
"distance_cluster",0.00581163056099386,0.00337037886181111,0.00915539641196152
"word2vec_24",0.0057731052137612,0.0063649419808172,0.0078817836841858
"que",0.00576669849164126,0.00691597824940957,0.00662904985358673
"lsa_5",0.00575451959532531,0.00377858994930377,0.0089622666130775
"la",0.0055343998417148,0.00526468343447309,0.00624279025581869
"word2vec_2",0.00545247365554536,0.00390970994961168,0.00817408824465892
"lsa_4",0.00529887583173102,0.00292002706953057,0.0075738199508302
