COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
13501,1,AC,3,2, Me gusta la u es paja bro y soy pito,,Delegado,6,,3
23622,3,AC,25,1, El metodo de blended no le hace bien a todos,,Delegado,5,,3
8354,4,AC,31,1," Los profesores, sus métodos de enseñanza bes muy buena. El uso de la tecnología nos ayuda mucho y ayuda a desarrollarnos. La cafetería y los ascensores son muy buenos.",,,5,,4
17745,4,AC,28,6, Porque posee gran mayoría de profesores especializados en lo que enseñan,GEA,,6,,3
10867,3,AC,34,1, La pencion,,,6,,3
24478,3,AC,40,9," Mayor espacio en los estacionamientos ya que hay mucho tráfico en horas punta y perjudica a llegar puntual, y mayor espacio para poder almorzar en las zonas comunes, además de un mejor servicio al alumno ya que no siempre es el mejor.",,,4,,3
12765,1,AC,5,1, Calidad educativa,,Delegado,5,,3
6020,3,AC,5,2, La enseñanza y buena metodología,,,7,,4
8182,1,AC,25,4, Tiene tecnología de qltq calidad y tiene una muy buena metodología de aprendizaje,,,5,,4
26698,1,FC,109,7," No es posible que para tener que matricularme tenga que pedir que me abran cursos, ya que los cursos que abrieron se cruzaban entre si. En este modulo, estoy faltando al trabajo los dias sabados por motivo de no brindar la facilidades de otro horario. Se supone que EPE, es para gente que trabaja, sin embargo no dan facilidades de horario.",,Delegado,4,,2
17882,2,AC,25,1, Por el excelente servicio académico. También por la buena atencion.,,,2,,4
22691,3,AC,26,2, Quizas en exigencia y en la publicacion de un horario virtual donde se muestren las evaluaciones a llevarse a cabo.,,,5,,2
25246,1,AC,31,3, cuando se bloque la contraseña no mandan rapido una nueva contraseña,,,5,,2
28191,4,FC,105,3, mejorar it,,,4,,3
12700,4,AC,13,1, Mantener los costos de las pensiones,,Delegado,8,,3
23187,3,AC,12,3, En el mantenimiento de baños y salones,,,5,,3
33316,2,FC,105,7," Primero, cambiar el horario de estudios cuando en el momento de elegirlos en el 2012 no fue eso lo que se ofreció. Segundo, mejorar la plana docente con profesores que estén mejir preparados y exigentes. Tercero, el servicio de atención al alumno es pésimo. En lugar de orientar, te desorienta. Me siento insatisfecha con el servicio que recibo por parte de la universidad.",,,3,,1
17602,4,AC,21,2, Aún les falta brindar mas servicios a los alumnos,,Delegado,5,,3
31859,2,FC,107,8," las clases de ingles sean presenciales , que la información del blackboard sea mas concisa y que se regrese el horario de 7 a 10",,,4,,3
8773,1,AC,34,4, Demasiadas personas dentro del campus han quitado el sentido de enfoque particular que solían tener. Los procesos son muy desordenados. Muchas limitaciones para reserva de espacios de trabajo dentro de la EDM. Incremento de la pensión y MUY POCO espacio para estacionar en comparación a la cantidad de alumnos que ahora permiten ingresar.,,Delegado,6,,1
6307,1,AC,37,2, Que esta acreditada y hay mucha exigencia,,,7,,4
6018,3,AC,6,6, Espacio,,,6,,3
20809,3,AC,3,1," El wifi, mejorar en él aspecto de la comida más saludable y rica.",,,4,,3
32775,4,FC,106,2, Los temas deben ser mas practicos y de aplicados a la carrera que estamos llevando,,,5,,3
2850,2,AC,14,1, La matrícula no debe ser tan complicada de realizar ya que no hay salones,,,4,,3
32077,1,FC,109,3, Lo lejos de mi casa,,,4,,4
5934,1,AC,31,2, Es completa,,,5,,4
29421,3,FC,104,1, Orientación sobre la intranet,,,4,,3
10098,3,AC,6,2, Los convenios y las carreras,,Delegado,5,,4
26115,3,FC,107,4, Buena enseñanza,,,4,,3
20197,3,AC,31,1," En nada , por ahora",,,4,,1
12845,1,AC,26,1, La exigencia de los profesores a los alumnos es muy alta y obliga a que tengamos un excelente desempeño. Además nos brindan muchos servicios para poder estudiar mejor,,,3,,4
25570,4,FC,101,3," Los cubiculos son escasos y mal administrados. Igual que las PCs, me dieron una maquina por una hora, a los 15 minutos llego una señorita diciendo que había separa mi máquina por la aplicación. Se sentó en otra. 10 minutos después llegó otro alumno diciendo lo mismo!",,,4,,3
15391,3,AC,34,4," Un poco de desorganización , la pensión es muy elevada",,Delegado,7,,2
12059,3,AC,15,1, La información a los nuevos alumnos con respecto a créditos extra académicos,,,7,,3
27967,3,FC,110,8," La carrera de ING de redes de epe parecen de letras, muchos profesores son relajados hacen dos horas de clase o menos cuando deberían hacer 3, deben implementarse laboratorios reales",,,5,,3
1949,4,AC,31,4, Existen aspectos a mejorar,,Delegado,5,,3
11260,3,AC,5,2, El alza anual de la pensión sin ningún cambio dentro de la infraestructura de la universidad,,,4,,1
6959,4,AC,3,2," No ayudan, cuando tienes problemas tanto de matricula, quejas, etc.",,,4,,2
9920,1,AC,37,2, El servicio de atención al alumno es pésimo.,,,7,,3
21337,3,AC,7,3, No hay un lugar seguro donde pueda dejar mi maqueta ya que el salón negro lo sierran temprano,,,5,,3
240,4,AC,31,4, Más espacios para estudiar,,,4,,3
25891,2,FC,101,2, aumento de horas en clases presenciales  modalidad EPE,,,5,,3
9894,3,AC,39,1, QUE FUMEN EN LA PUERTA NO ME GUSTA.,,,7,,1
20663,1,AC,9,1, La modernidad,,,5,,4
24770,3,AC,28,2, Por la calidad de enseñansa,,Delegado,4,,4
22746,3,AC,25,2, Los laboratorios,,,4,,4
27510,3,FC,101,8, El ambiente... La calidad... Pasión puesto en todo el sistema,GEA,,4,,4
28491,3,FC,101,2," Demasiados Trabajos bajo presión para Epe, pensión mensual alta",,,4,,2
14632,3,AC,30,1, Bueno no tiene comida barata y el papeldel baño es duro,,Delegado,3,,2
18969,3,AC,11,5," LA universidad TIENE CONVENIOS IMPORTANTES, PERO EL TRATO NO ES MUY BUENO",,,6,,3
30137,3,FC,107,9, Mucha gente,,,4,,2
29495,4,FC,107,4," La enseñanza y temas son engaña muchachosel curso de calculo que toma 6 meses en otras universidades y en la universidad lo meten en una semana ,lo mismo para los otros cursos de ciencias. LLos pagos deberian bajarlos si desean hacer su metodo blended El acceso a las sede de la misma universidad luego de quitar las sede de alquiler , se convierte en dolor de cabeza para poder llegar . slds No hablo con el higado deberian preocuparse por el futuro de un pais y ser justos con la enseñanza, no es del todo didáctico",,,4,,1
23330,3,AC,5,3," Deben mejorar todo el sistema del blackboard, ya que aveces se inhabilita.",,,6,,3
29837,1,FC,101,7, Las recursos con las que cuenta la universidad.,,,4,,4
16493,3,AC,28,1," Ambiente academico, limpieza, disponibilidad de materiales",,Delegado,5,,4
21122,1,AC,36,8, Muy caro,,,6,,3
10877,3,AC,17,4, todo cool,,,4,,4
223,1,AC,37,8, No dejen entrar a TODO el mundo.,GEA,,8,,3
22079,3,AC,6,1," Deberían bajarle el precio a las cosas en la cafetería, que haya baños en todos los pisos y que el WiFi también llegue afuera de los pabellones, no solo dentro de ellos.",,,4,,3
31644,2,FC,101,1, La organización.,,,4,,4
22569,4,AC,9,4, El servicio intranet deja mucho que desear,,Delegado,7,,4
9414,3,AC,32,2, La experiencia,,,5,,4
25518,3,FC,109,3, El 80% de los profesores llegan al alumnos con sus enseñanzas.,,,4,,4
24604,3,AC,25,1, La calidad de profesores,,,6,,4
25667,2,FC,107,1," es una universidad muy seria y con muy buen trato hacia los estudiante,sigan adelante en el camino a la excelencia. les pondría 10 pero creo que aún tienen algunas oportunidades de mejora",,,4,,4
27489,3,FC,101,5, tener mas locales de estudio como antes,,,4,,3
16836,2,AC,25,2, Debería de haber mas deporte en todas las sedes.,,,5,,3
20562,4,AC,2,1, Debería existir una aplicación para juntar los accesos virtuales,,,5,,2
17954,2,AC,9,1, Las pensiones y recategorizaciones deberian ser por mas de un año ya que cada quien no tiene tiempo de estar haciendo el tramite cada ciclo,,,6,,2
7462,3,AC,5,5," Falta de aulas en cursos como Investigación de mercados ,entre otros cursos y también tener distintos profesores en un curso,ya que hay veces que hay un solo profesor que enseña el curso,tener mas señal de wifi y debería haber un comunidad donde los alumnos puedan dar propuestas a la universidad como una consejería estudiantil.",,,5,,2
20407,3,AC,5,1," En la comunicacion como en los avisos de cambios de horarios,etc.",,Delegado,4,,3
26987,3,FC,106,5, La enseñanza,,,4,,4
27382,3,FC,107,4, No nos dan facilidades u otras opciones cuando tenemos problemas de traslado de campus,,,2,,2
25308,3,FC,110,2, La exigencia,,,5,,4
29372,4,FC,108,4," La exigencia académica, y la calidad de la enseñanza. Además cuenta con una gran infraestructura.",,,5,,4
20716,3,AC,14,1, En la buena enseñanza de los profesores y el buen ambiente.,,,5,,3
26902,4,FC,101,7," La calidad de la enseñanza, el reconocimiento y la verificaciones de la Universidad, la facilidad de horarios, la moderna infraestructura.",,,3,,4
11834,1,AC,5,1," Nos brinda los mejores servicios innovadores, la mejor Universidad del Perú",,,5,,4
14774,1,AC,16,6, Mejor atención para los al7mnis en cuanto a solicitudes,,Delegado,4,,2
18704,1,AC,7,1, La calidad de enseñanza que hay en esta universidad,,,3,,4
869,3,AC,27,1," Muchos pueden decir que es fácil ingresar y como en toda universidad pero no saben que al estar dentro es una experiencia diferente, son exigentes y eso te ayuda a ser un mejor profesional, además de que hacen uso de la tecnología para aprender",,Delegado,5,,4
15480,1,AC,37,3," La atención al alumno es pésima y el WiFi muy lento, tanto que esta respuesta tal vez ni llegue",,Delegado,6,,2
14955,1,AC,37,5, Su estacionamiento es pauperrimo. Me cuesta 22 minutos aprox diarios de cola llegar a clase. Inaceptable,,Delegado,7,,1
24525,3,AC,32,2, La calidad de enseñanza y paciencia de los profesores,,,5,,4
30788,4,FC,104,7, El inglés es muy aburrido. El Cambridge es muy aburrido y no se aprende nada.,,,4,,3
9291,1,AC,17,5, La biblioteca,,,6,,4
13733,3,AC,21,1, Me siento cómodo con respecto a la enseñanza y el lugar,,,4,,4
5573,3,AC,25,1, La enseña nada y las facilidades que ofrecen,,Delegado,5,,4
23451,1,AC,5,7," Respecto a la plataforma para celulares, la anterior me parecia más interactiva y facil de usar. Respecto a los salones que se habilitan en el 1, ya que estoy en 8vo y estoy llevando más cursos de 9no y 10 de administración, porque los de carrera no se aperturan. Las diferentes actividades por parte de Vida Universitaria me parecen minimas, y la semana Universitaria deja mucho que desear. En general, me encanta la universidad, son solo estos factores que incomodan un poco la vida estudiantil",,,6,,3
13695,1,AC,25,3, solucionar algunos problemas del blackboard,,,5,,3
30115,2,FC,106,6, Precio,,,4,,3
14054,3,AC,25,1," Es una muy buena universidad, te brinda Muchas facilidades que les sirviría a cualquiera",,,4,,4
16768,2,AC,5,2, En establecer más areas de cubiculos y computadoras,,Delegado,5,,3
4283,4,AC,14,6, Constante subida de pensiones poco espacio para descansar pocos implementos académicos (libros) incremento de alumnos y horarios pocos flexibles para trabajar,,Delegado,6,,2
12586,3,AC,31,2," En las dinamicas que tienen con los cachimbos, en la metodologia de los cursos, pues creo que deberia haber mas cursos electivos",,,6,,3
5265,1,AC,36,7," Porque te exige, es moderna, tiene buena plana de docentes, al menos en ciencias de la salud y tiene una acreditacón internacional",,Delegado,7,,4
26799,2,FC,106,1," El nivel académico, las formas de estudio y la calidad de los profesores",,,4,,4
3236,2,AC,15,1, La universidad es muy lucrativa,,Delegado,5,,2
11264,3,AC,25,1, Deberian de mejorar el proceso de los TIU ya que son importantes ademas que los alumnos nuevos deben de estar registrandose constantemente por la falta de TIU haciendo que se retrasen en llegar a sus cursos.,,,5,,3
1752,3,AC,29,1, El tener todas las herramientas en la universidad para hacer los trabajos.,,,4,,4
3018,1,AC,14,1, Posibilidades economicas,,,4,,3
14395,4,AC,3,1, Porque es enseñan bien,,,5,,3
8745,3,AC,25,5, La atencion al alumno es deficiente y el aplicativo de matricula no esta bien desarrollado,,,4,,2
5604,3,AC,30,1, Porque es buena,,,5,,4
20680,2,AC,31,4," Mi experiencia hasta el momento es buena, pero un profesor no tiene buena metodología lo que me obliga a calificarla con menor puntaje.",GEA,Delegado,5,,3
12838,3,AC,25,2," A pesar de la buena infraestructura y nueva metodología, parece ser que no alcanza el renombre que debería",,,6,,3
8184,3,AC,7,1, Poner casilleros para guardas nuestras cosas,,,1,,3
18210,1,AC,7,1, Porque ahora ya no puedo ver con que compañeros voy a llevar el próximo ciclo desde mi iPhone ¡restauren la antigua app plssss!!!!!,,,4,,4
30252,3,FC,104,3, Los cursos blended deben tocarse en clase sobretodo los temas mas complejosco aumentar un día más de estudio,,,4,,2
6087,1,AC,35,1," Hay demasiada gente, deberian poner cupos limitados, por que la universidad esta sobrepoblada",,,5,,3
23780,2,AC,29,1," Tiene una buena infraestructura, profesores experimentados.",,,4,,4
31554,2,FC,100,9, el prestigio de la universidad y la calidad de enseñanza,,,2,,4
22699,3,AC,34,4, Por los materiales que ofrece la universidad.,,,5,,4
19871,2,AC,13,1, Tiene todo lo que necesito,,,7,,4
29186,3,FC,106,7, En subír la pensión de mensual.,,,4,,2
10237,1,AC,38,7, Buenos profesores,,,7,,4
28713,1,FC,101,2, En algún momento me tocaron profesores que profesaban el catolicismo en clases y no me perece apropiado.,,,2,,3
24584,3,AC,27,2, La enseñanza,,,7,,4
8785,4,AC,31,3, El espacio acogedor de mi universidad.,,,4,,4
29240,4,FC,107,1," Las facilidades para imprimir, usar los espacios de esparcimientos",,,4,,4
2351,4,AC,22,6," Más producciones propias de investigación, variando de tema, no solo temas económicos o de marketing.",GEA,,5,,3
5486,1,AC,37,7," Por mas que hagan uso de este tipo de encuestas, la verdad su escucha a las necesidades del alumno son nulas, el interés económico cega la importancia de la educación y la creación de un entorno favorable.",,,6,,2
32230,1,FC,107,1, conocer nuevas personas,,,3,,4
32194,4,FC,104,4," La calidad de las evaluaciones, ya que la mayoría se basa en trabajos grupales, no midiendo la aplicación de la teoría para cursos de ciencias como contabilidad..",,,5,,2
2414,1,AC,3,1, Es extraordinario.,,,4,,4
9094,3,AC,7,2, El agradable ambiente,,,5,,4
4542,4,AC,13,3, Mala atencion,,,7,,1
8795,3,AC,3,7, Proceso de matricula. Mas instrucciones para alumnos cachimbos.,GEA,,6,,3
14951,3,AC,32,1, las clases dinámicas,,,6,,4
18354,1,AC,9,1, El internet,,,5,,2
9125,1,AC,33,1," Viernes culturales, convenios, descuentos",,,4,,4
22772,1,AC,9,2, Mejora de atención al alumno,,,6,,3
24737,3,AC,13,3, Cada vez suben más la pensión,,,7,,2
23900,3,AC,12,10, Horarios.,,,1,,3
25389,4,FC,101,1," Instalaciones, ayuda y soporte tecnologico, dinamismo, pero por el amor de cristo... Dejen de jugar con los horarios.",,,4,,4
33403,4,PRESENCIAL,217,1, La coordinadora no se involucra y da información a destiempo de temas del curso,,,,,3
10398,3,AC,31,2, Tiene una buena atención,,,4,,4
5434,1,AC,37,7, Porque es muy buena la educación y el servicio que brindan,,Delegado,8,,4
12476,3,AC,14,1, Buena enseñanza académica !,,,5,,4
22732,3,AC,34,1," La metodología en la enseñanza en algunos de los cursos como lenguaje I, II",,,8,,3
12792,3,AC,32,4, Matricula,,,3,,3
3344,2,AC,25,1, Está todo perfecto.,,,4,,3
30659,3,FC,101,2," Para los estudiantes de EPE, nos han cambiado todo, desde los horarios hasta la curricula. También estamos en la incertidumbre si podremos acabar la carrera en 3 años y medio o en 5 años como se rumorea. Si así es el programa EPE no tienen ningun beneficio para la persona que trabaja.",,,4,,2
891,3,AC,15,1, Mi carrera y el metodo de enseñanza,,,6,,4
22536,3,AC,3,6, Mejorar salones,,,8,,3
26733,3,FC,101,6," Deberian ser mas cursos de carrera, por ejemplo no veo la necesidad de llevar 3 veces liderazgo",,,5,,2
28212,1,FC,107,6, deberían categorizar las escalas de facturación,,,4,,3
6787,2,AC,31,2, Falta de matriculas,,,4,,2
33041,1,FC,111,4, Reducir precios de mensualidad,,,3,,3
18080,4,AC,2,3," Los cursos blended, son horribles, mal estructurados y nada productivos.",GEA,,7,,3
1482,1,AC,25,5, En en la determinación del nivel de enseñanza de los docentes.,,Delegado,5,,3
5926,1,AC,37,4, En su calidad de servicio y no poner ponderados tan altos en las carreras,,,7,,3
12823,2,AC,31,2, Lo recomendaria seguido,,,5,,4
16922,1,AC,37,1, Por qué es muy buena,,,3,,4
2728,1,AC,7,3," Los profesores que tienen son buenos, y que cuentan con talleres y tutorias",,Delegado,4,,4
8622,2,AC,25,2, Es buena,,,6,,4
5978,1,AC,33,3, la tecnologia,,Delegado,5,,3
21854,1,AC,36,5, Mala antencion en odontologia. Pensiones subem a cada rato,,,5,,2
32840,3,FC,100,3, debe ser mas simple el sistema,,,4,,2
14291,3,AC,5,3, Innovacion,GEA,Delegado,5,,4
28352,2,FC,101,3, somos gente que trabaja por lo que es necesario que los tutores nos busquen o escriban de manera personal para entablar un contacto mas frecuente y disipar nuestras dudas y expectativas.,,,4,,3
28659,3,FC,105,9, Porque tiene buenos profesores.,,,5,,4
25003,4,AC,5,7, No hay un aterrizaje completo de la teoría,,,5,,1
2087,4,AC,15,1," La cafeteria mas grande , mas fotocopiadoras ya que se demora mucho para realizar una fotocopia o impresion",,,7,,3
5186,1,AC,37,2," Mejorar el aula virtual, la atención al alumno",,,7,,2
23909,4,AC,13,2," Bajar la pension, mas espacios",,,5,,2
11791,1,AC,25,1, La enseñanza de los profesores y la piscina,,,5,,4
10450,1,AC,33,4, Bajar la cuota mensual Mejorar la atención administrativa,,,5,,3
15939,3,AC,14,9, Aprendizaje,,,2,,4
7713,2,AC,25,1, Es buena en la enseñanza y academicamente.,,,4,,3
13647,3,AC,5,4," En atencion al alumno,ya que no hay suficientes personas que nos ayude. Los baños deberian ser mas higienicos.",,,5,,3
8309,3,AC,7,1, Renovación de los tableros de taller de arquitectura y mas mesas en el comedor.,,Delegado,4,,2
323,3,AC,31,1, Es la mejor del peru,,,5,,4
6575,1,AC,25,3, Calidad de educación e infraestructura,,Delegado,5,,4
23185,3,AC,34,7, En la atención y la rapidez de las solicitudes de inmediato.,,Delegado,6,,3
6396,4,AC,14,3, Se demoran en contestar contacto web .. Ademas suben la matricula dos veces al año.,,Delegado,6,,1
672,4,AC,25,1, El ambiente,,,6,,4
9580,1,AC,25,2, Los beneficios que otorga a los deportistas.,,,4,Deportista,4
1112,3,AC,11,2, El callcenter de la universidad es una total molestia porque el servicio es muy malo y con información errónea.,,,5,,2
20422,1,AC,3,1, Mis cursos,,,5,,4
23224,1,AC,34,2, La vision empresarial y la parte tecnologica,,,3,,4
14668,3,AC,2,1, Ampliar horarios,,,4,,3
21500,4,AC,15,1, CONTIENE BUENA DE DOCENTES Y BUENA INFRAESTRUCTURA,,,5,,4
25885,4,FC,101,3," La matrícula de este ciclo fue una pesadilla y sus canales de atención, los 5 que ofrecen colapsaron, sobre todo el de atención telefónica. Tengo un buen promedio y por errores del sistema me no me abrían cursos del siguiente ciclo, porque se duplicaban otros. Tuve que escribir varias veces al contacto web, porque me aperso e a atención al alumno y perdí 40 minutos de cola para que me digan que temas de matrícula sólo a través de la web. Si nosotros alumnos de Epe somos sus clientes, hemos sido",,,4,,1
29014,3,FC,100,1," Un roadmap con todos los procedimientos, lugares, tutores, etc",,,4,,3
25942,2,FC,101,5, Los temas de cada curso son interesantes,,,5,,4
10415,2,AC,31,1, Mejorar la paciencia y dinámica de los profesores,,,4,,3
14535,4,AC,31,1, Mas apoyo en el deporte,,,3,,3
5787,4,AC,5,1," Es mi primer ciclo pero me gustaria que no sean tantos trabajos grupales, y capacitar mas a algunos profesores",,Delegado,5,,2
31389,2,FC,107,3," El campus tiene todas las herramientas para facilitar que uno aprenda.... me gusta como aplicamos la tecnología para facilitar el aprendizaje, mi profe de cálculo lo máximo.",,,2,,4
9644,3,AC,3,1, la vida universitaria,,,3,,4
15029,2,AC,25,1, Su enseñanza es buena,,Delegado,4,,4
31871,3,FC,103,7," Varios aspectos, principalmente la al alumno para matrículas y consultas es pésimo.",,Delegado,4,,2
2246,3,AC,5,8, Las instalaciones,,Delegado,7,,3
13248,3,AC,32,8," En la falta de laboratorios para mecatronico, laboratorio de mandos no hay equipos,",,Delegado,5,,2
3177,1,AC,13,1," La universidad ahora esta demasiado llena, hay muchos alumnos en algunas sedes.",,,6,,4
23738,1,AC,29,2, estacionamientos,,,2,,3
20496,2,AC,29,2, En la atención,,,5,,3
9415,3,AC,9,1," Su sistema, tiene muchas fallas, sobre todo con el tema de la contraseña. Me parece que en la carrera de comunicación, son muchos los cursos que se deben llevar por curso esto baja el rendimiento en algunos alumnos.",,,5,,2
15117,3,AC,7,6," Hay tantas personas en la universidad que para muchas no quedan cursos al armar los horarios, la mensualidad sigue subiendo, el internet para el alumno es malísimo, la cafetería es demasiado pequeña, los profesores y los alumnos nos quejamos por el cambio de las computadoras a ipad ya que se demoran 30 minutos mínimo cada clase para poder iniciar, etc",,Delegado,4,,2
29087,3,FC,103,4," Si lo recomendaría, por que creo es una buena Universidad la cual te ayudará en tu carrera.",,Delegado,4,,3
25245,3,AC,30,1, WASC,,,4,,4
15009,2,AC,28,1," Horarios más accesibles, la mayoría tienen huecos en sus horarios",,,3,,3
33412,4,PRESENCIAL,223,1," Pregrado; los Directores y Decanos de Escuelas y facultades depen de preocuparse más por los alumnos; Darle más énfasis a las actitudes de los profesores a cargo de los cursos; en la parte administrativa, nadie da respuesta  a las cartas",,,,,2
18405,3,AC,3,1, las distintas areas,,,6,,4
32769,4,FC,106,2, Infraestructura,,,5,,4
12878,4,AC,11,2, En el 4 hacer las dinámico el ambiente y qué no sea tan aburrido poner mas áreas para descanso y donde poder estar en los tiempos libres. Deberian mejorar el WiFi,,,5,,3
22730,3,AC,29,3," Debe de haber más cubículos para estudiar, la conexión de internet es lenta y en los comedores no hay espacio y faltan mesas.",,,5,,3
25787,2,FC,107,9," Deben mejorar, el nivel de los profesores hay algunos que no se le entiende y eso dificulta el aprendizaje, sumado con el tiempo corto que se tiene dificulta aun mas el aprendizaje.",,,4,,3
18172,4,AC,31,1, atención al alumno,,,4,,3
18975,3,AC,11,8," Me parece que ya están excediendo en el número de alumnos por sede. Además, hay ciertos puntos, como el mantenimiento de los baños y el tiempo de atención en el Centro de Atención del Alumno son cuestiones que deben mejorarse URGENTE!!!!!!",,,7,,3
15121,1,AC,29,3, Blended,,,5,,2
29906,3,FC,107,9, Pensión. Becas.,,,2,,1
5634,1,AC,37,1," Porque sé que tiene una malla distinta a otras universidades en la que el primer ciclo te dictan cursos de carrera y además de eso, te forman, mediante talleres, para que sea una buena persona, para que seas líder y en un futuro (cuando acabes la carrera) no tengas inconveniente alguno en tu centro laboral.",,Delegado,6,,4
20930,3,AC,24,3, Atencion al alumno nunca es eficaz. No ayuda mucho con resolver los problemas y dudas.,,Delegado,5,,2
7662,3,AC,10,6, Servicio de atención al alumno,,Delegado,7,,3
30524,4,FC,101,4, Hay cursos inútiles,,,3,,1
27581,3,FC,106,7, Los horaruos,,Delegado,4,,3
5366,3,AC,25,1," Los cubículos, profesores",,,5,,4
18903,3,AC,28,9, Las carreras son especializadas y tienen un enfoque definido para cada una.,,,2,,4
8145,3,AC,7,1, Es buena en muchas materias,,,3,,4
31159,3,FC,105,5," El blackboard y los telefonos de atencion al alumno son pésimos, nunca contestan y es desesperante. Los horarios han cambiado y los de EPE salimos muy tarde.",,,4,,3
18160,3,AC,31,1, Mas computadoras,,,5,,3
2566,3,AC,31,8, Trabajos finales aplicado a empresas,,,6,,4
6047,3,AC,13,2, Porq es la mejor,,Delegado,7,,4
9228,3,AC,39,1, No me gusta que 13 sea la mínima nota,,,5,,2
11098,2,AC,28,1, Que haya talleres que no cuesten como ofimaticas y cosas basicas pero importantes .,,,3,,3
19462,4,AC,29,1, Infraestructura,,,5,,3
9159,4,AC,25,3, Considero que la mensualidad es demasiado alta como para que mis amigos o familiares puedan pagarla.,GEA,,5,,2
22100,2,AC,12,1," Mucho demora de los trámites, y pensión muy alta por cada ciclo.",,,5,,2
15799,3,AC,15,5, Mejorar el estado de las instalaciones y contratar profesores que tengan renombre en el mercado y a la vez hagan doctrina porque ello da una buena referencia de con quién llevaste los cursos en los estudios de abogados.,,Delegado,6,,3
32538,4,PRESENCIAL,222,1, su organización y la calidad de la educación,,,,,4
33586,4,PRESENCIAL,214,1," Enviar los horarios definidos de toda la maest´ria, con 2 días de anticipación sino asistirá el profesor a clases",,,,,4
26579,2,FC,107,3," El proceso de atención al alumno en web se demoran demasiado en dar una respuesta y muchas veces la respuesta no soluciona tu duda. Por otro lado, al momento de matricularse en el área de informes, deberían de colocar más personal.",,,3,,3
19910,2,AC,32,1," en el exceso de alumnos no bien preparados, el tiempo que demora la atención por información y en el exceso de trabajos grupales que se realizan. Sobre lo último, creo que está bien fomentar la ayuda mutua pero es que al hacer grupos, la mayoría de veces gana el pensamiento mayoritario y no deja crecer a uno por su cuenta.",,,6,,1
26537,3,FC,107,3," La infraestructura, la malla curricular, los servicios académicos.",,,4,,4
22150,3,AC,25,1," Lo que mas valoro de la universidad es que a diferencia de otras universidades, esta es una universidad tiene una manera de enseñar distinta. El uso de la tecnología es un gran aporte para la educación, también se puede resaltar la moderna infraestructura de los salones y la gran atención que recibimos los alumnos.",,,5,,4
22307,3,AC,18,8, Lento,,,4,,2
29912,2,FC,106,3, En el caso de EPE la dedicación de los profesores a pesar de que el curso es mitad presencial mitad virtual,,,4,,4
6922,3,AC,5,1, Hay diversas actividades que las personas pueden hacer y poder explotar sus habilidades al máximo.,,,6,,4
811,1,AC,11,1, La enseñanza es muy buena,,,5,,4
12099,4,AC,14,2," La universidad no debería proporcionar cursos blended para cursos prácticos (matemáticas), ya que se requiere una mayor explicación del profesor",,,6,,3
11327,2,AC,31,2, Brinda un ambiente en el cual te motiva a estudiar de una mejor manera,,,5,,3
